tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications
DNA	11783246	17307	0.0622927397474611	189159219	442
LINE	4527617	8007	0.0239354815691008	189159219	380
LTR	37373250	24870	0.197575620144636	189159219	860
Other (Simple Repeat, Microsatellite, RNA)	1221953	2131	0.00645991776906205	189159219	40
Penelope	24530	259	0.000129679114397274	189159219	25
Rolling Circle	1123003	2785	0.00593681347352148	189159219	52
SINE	15061	234	0.0000796207558881917	189159219	48
Unclassified	16681735	47524	0.0881888553367309	189159219	644
